,name,location,rating,distance,review_count,price,searched_latitude,searched_longitude
227,Nancy Hands Bar & Restaurant,30-32 Parkgate Street,3.9,1015.5986606755728,97,€€,53.341805,-6.305085
228,Guinness Storehouse,St James's Gate,4.2,1231.204648310974,1830,€€,53.341805,-6.305085
229,Slice,56 Manor Street Place,4.3,1789.2029722768084,49,€€,53.341805,-6.305085
230,The Brazen Head,20 Bridge Street Lower,4.2,329.42347039348834,906,€€€,53.342081,-6.275233
231,The Boxty House,20-21 Temple Bar,4.3,954.1631787209428,1231,€€€,53.342081,-6.275233
232,Darkey Kellys,Hotel Harding,4.6,397.50254593236616,263,€€,53.342081,-6.275233
233,Bull & Castle,5-7 Lord Edward Street,4.1,361.4820924298713,294,€€€,53.342081,-6.275233
234,The Old Mill Restaurant,14 Temple Bar Square,4.5,919.1982254765119,229,€€,53.342081,-6.275233
235,IL Vicoletto,5 Crow Street,4.5,806.4894397698781,131,€€€,53.342081,-6.275233
236,The Pig's Ear,4 Nassau Street,4.3,1359.3621194401517,238,€€€,53.342081,-6.275233
237,F.X.Buckley,2 Crow Street,4.6,805.1218699391169,120,€€€,53.342081,-6.275233
238,L Mulligan Grocer,18 Stoneybatter,4.3,1150.1047323977546,215,€€,53.342081,-6.275233
239,Pichet,14-15 Trinity Street,4.3,877.0321510261239,116,€€€,53.342081,-6.275233
240,The Boxty House,20-21 Temple Bar,4.3,1398.8689250723576,1231,€€€,53.339629,-6.243778
241,The Pig's Ear,4 Nassau Street,4.3,787.2573238694459,238,€€€,53.339629,-6.243778
242,The Old Mill Restaurant,14 Temple Bar Square,4.5,1444.0933346812687,229,€€,53.339629,-6.243778
243,The Schoolhouse Bar & Restaurant,2-8 Northumberland Rd,3.8,381.3307590657933,67,€€,53.339629,-6.243778
244,The Bank on College Green,20-22 College Green,4.4,1284.8509050760435,441,€€€,53.339629,-6.243778
245,IL Vicoletto,5 Crow Street,4.5,1434.0945093529917,131,€€€,53.339629,-6.243778
246,Featherblade,51B Dawson Street,4.4,995.4943900256254,122,€€,53.339629,-6.243778
247,FX Buckley,1A Lower Pembroke St,4.3,560.4442558110208,95,€€€,53.339629,-6.243778
248,F.X.Buckley,2 Crow Street,4.6,1444.7466753742292,120,€€€,53.339629,-6.243778
249,Pichet,14-15 Trinity Street,4.3,1338.8366549159534,116,€€€,53.339629,-6.243778
250,The Brazen Head,20 Bridge Street Lower,4.2,177.20295251870797,906,€€€,53.343565,-6.275071
251,The Boxty House,20-21 Temple Bar,4.3,886.3641243061965,1231,€€€,53.343565,-6.275071
252,Darkey Kellys,Hotel Harding,4.6,333.05406639118684,263,€€,53.343565,-6.275071
253,Bull & Castle,5-7 Lord Edward Street,4.1,320.3544743914413,294,€€€,53.343565,-6.275071
254,The Old Mill Restaurant,14 Temple Bar Square,4.5,846.8014857218287,229,€€,53.343565,-6.275071
255,IL Vicoletto,5 Crow Street,4.5,756.7209904551455,131,€€€,53.343565,-6.275071
256,Pichet,14-15 Trinity Street,4.3,838.3669541265707,116,€€€,53.343565,-6.275071
257,The Pig's Ear,4 Nassau Street,4.3,1355.6828447363137,238,€€€,53.343565,-6.275071
258,Bunsen,22 Essex Street E,4.5,736.764504210484,215,€€,53.343565,-6.275071
259,The Bank on College Green,20-22 College Green,4.4,905.924898447579,441,€€€,53.343565,-6.275071
260,The Boxty House,20-21 Temple Bar,4.3,1253.1262339293219,1231,€€€,53.339434,-6.246548
261,FX Buckley,1A Lower Pembroke St,4.3,392.3148009861329,95,€€€,53.339434,-6.246548
262,The Pig's Ear,4 Nassau Street,4.3,631.4980583356771,238,€€€,53.339434,-6.246548
263,The Old Mill Restaurant,14 Temple Bar Square,4.5,1297.275690891584,229,€€,53.339434,-6.246548
264,IL Vicoletto,5 Crow Street,4.5,1275.1599081344555,131,€€€,53.339434,-6.246548
265,The Bank on College Green,20-22 College Green,4.4,1129.352624054309,441,€€€,53.339434,-6.246548
266,Featherblade,51B Dawson Street,4.4,823.6639571278147,122,€€,53.339434,-6.246548
267,F.X.Buckley,2 Crow Street,4.6,1286.464639819304,120,€€€,53.339434,-6.246548
268,Pichet,14-15 Trinity Street,4.3,1179.7935377933748,116,€€€,53.339434,-6.246548
269,Pearl Brasserie,20 Upper Merrion Street,4.5,455.0771153105262,74,€€€,53.339434,-6.246548
270,The Boxty House,20-21 Temple Bar,4.3,1468.3592370984063,1231,€€€,53.332763,-6.257942
271,The Pig's Ear,4 Nassau Street,4.3,1081.3044933660126,238,€€€,53.332763,-6.257942
272,The Old Mill Restaurant,14 Temple Bar Square,4.5,1489.6083369499463,229,€€,53.332763,-6.257942
273,The Sussex,8/9 Sussex Terrace,4.7,445.9263371923004,53,€€€,53.332763,-6.257942
274,The Bank on College Green,20-22 College Green,4.4,1304.182708194356,441,€€€,53.332763,-6.257942
275,IL Vicoletto,5 Crow Street,4.5,1361.434147037674,131,€€€,53.332763,-6.257942
276,Pichet,14-15 Trinity Street,4.3,1300.0542793058687,116,€€€,53.332763,-6.257942
277,Featherblade,51B Dawson Street,4.4,989.1349518229721,122,€€,53.332763,-6.257942
278,House,27 Lower Leeson Street,4.0,245.6399168647622,59,€€€,53.332763,-6.257942
